Country Code,GDP
ABW,
AFG,0.071666099
AGO,-2.561034463
ALB,3.936912883
AND,2.291463752
ARB,-0.770408387
ARE,-0.609202845
ARG,1.879661216
ARM,7.29332355
ASM,
ATG,2.274423597
AUS,0.348880361
AUT,2.18677558
AZE,-0.96182397
BDI,-2.627823684
BEL,1.366164637
BEN,2.717830181
BFA,3.700834877
BGD,6.164787475
BGR,4.32022261
BHR,-0.807158715
BHS,0.377819871
BIH,3.319269563
BLR,2.353598963
BLZ,-1.196906429
BMU,
BOL,2.651663016
BRA,0.187041953
BRB,1.413789821
BRN,0.028510289
BTN,5.516625842
BWA,0.509982422
CAF,2.856934347
CAN,1.802411357
CEB,4.854556473
CHE,-0.019822948
CHI,
CHL,0.674983936
CHN,6.303967123
CIV,5.139962905
CMR,0.541059142
COD,0.381205501
COG,-7.036206049
COL,0.913126984
COM,0.194004389
CPV,2.593045305
CRI,2.171721751
CSS,-0.504096749
CUB,
CUW,
CYM,
CYP,3.458292099
CZE,4.043001244
DEU,1.7947102
DJI,2.496580819
DMA,-4.708496367
DNK,1.503090966
DOM,3.403978349
DZA,-0.052730145
EAP,5.809727248
EAR,3.218159355
EAS,3.845988848
ECA,3.411171153
ECS,2.16246079
ECU,1.512550645
EGY,2.190073004
EMU,2.112183206
ERI,
ESP,2.857073861
EST,4.878846275
ETH,7.56287112
EUU,2.186756103
FCS,1.050739764
FIN,2.336294703
FJI,3.02714746
FRA,1.426677635
FRO,
FSM,1.413382097
GAB,-1.159423848
GBR,1.129291301
GEO,5.04823175
GHA,6.147992732
GIB,
GIN,5.515315828
GMB,0.441810867
GNB,3.324895938
GNQ,-6.74721992
GRC,1.497792282
GRD,3.241612149
GRL,
GTM,0.749086568
GUM,
GUY,2.321827967
HIC,1.664906996
HKG,3.017655998
HND,3.063958783
HPC,2.432141466
HRV,3.990212921
HTI,-0.060334351
HUN,4.338446409
IBD,3.896449109
IBT,3.525527343
IDA,2.090971765
IDB,0.446159026
IDN,3.9230726
IDX,3.788729238
IMN,
IND,5.429243119
INX,
IRL,6.497338035
IRN,3.162263857
IRQ,-3.55917062
ISL,1.867198334
ISR,1.358011069
ITA,1.629827569
JAM,0.170549601
JOR,-0.6211839
JPN,1.880019757
KAZ,2.595522719
KEN,2.272175223
KGZ,2.526200055
KHM,5.19299957
KIR,1.32859334
KNA,0.779803516
KOR,2.62122194
KWT,-4.837596319
LAC,0.547034228
LAO,5.337134727
LBN,0.75128265
LBR,-0.102120901
LBY,25.05903115
LCA,2.214309117
LCN,0.70298398
LDC,2.838854625
LIC,3.026340277
LIE,
LKA,1.953719888
LMC,3.844970924
LMY,3.599725644
LSO,4.195284019
LTE,4.1874036
LTU,5.316392146
LUX,-0.677398726
LVA,5.561948303
MAC,7.273650068
MAF,
MAR,2.732735863
MCO,
MDA,4.564882779
MDG,1.415502391
MDV,6.689948088
MEA,0.094621077
MEX,0.754562146
MHL,2.382310313
MIC,3.762533774
MKD,-0.073615065
MLI,2.192772082
MLT,4.14990811
MMR,5.401455162
MNA,1.812403904
MNE,4.27185431
MNG,4.223566841
MNP,
MOZ,0.77662851
MRT,0.709690592
MUS,3.706428291
MWI,1.037151983
MYS,4.438368612
NAC,1.57042536
NAM,-2.888281621
NCL,
NER,0.96604934
NGA,-1.771579886
NIC,3.720109815
NLD,2.544787243
NOR,0.998313008
NPL,6.317378325
NRU,-0.423878238
NZL,0.86445133
OED,1.748847817
OMN,-4.822100836
OSS,0.211196917
PAK,3.655196043
PAN,3.699334481
PER,1.279059695
PHL,5.059747393
PLW,-4.721866922
PNG,0.141783691
POL,4.534545722
PRE,-0.898651245
PRI,
PRK,
PRT,2.996373722
PRY,-0.500141852
PSE,-6.080965885
PSS,1.990922697
PST,1.795600304
PYF,
QAT,-1.075683178
ROU,7.579331501
RUS,1.430704576
RWA,3.572454488
SAS,5.167182462
SAU,-2.732090242
SDN,1.827353742
SEN,3.829803949
SGP,3.526781655
SLB,1.224793231
SLE,1.938368077
SLV,1.79106277
SMR,0.638933855
SOM,
SRB,2.39044059
SSA,-0.084704823
SSD,
SSF,-0.083392098
SST,0.241616992
STP,1.629463056
SUR,-0.79887309
SVK,3.227309734
SVN,4.91413516
SWE,0.818382775
SWZ,0.198526919
SXM,
SYC,2.932331
SYR,
TCA,
TCD,-5.868097016
TEA,5.806242822
TEC,3.530684887
TGO,2.975685923
THA,3.641102721
TJK,4.862379832
TKM,4.733081154
TLA,0.669139227
TLS,-9.961628035
TMN,1.882791175
TON,1.846226625
TSA,5.167182462
TSS,-0.083392098
TTO,-2.632973988
TUN,0.815711009
TUR,5.778870079
TUV,2.365253257
TZA,3.859527381
UGA,0.629712705
UKR,2.95168888
UMC,4.001811847
URY,2.278220064
USA,1.546997883
UZB,3.546582291
VCT,1.361536114
VEN,
VGB,
VIR,
VNM,5.725877848
VUT,2.290702986
WLD,1.970696714
WSM,1.813849012
XKX,3.638679499
YEM,
ZAF,0.066568056
ZMB,1.01580933
ZWE,1.071853438
